DEGREE,ORDER,C_BAR,S_BAR
23.0,23.0,3.05532132709428e-09,-1.20563683028849e-08
24.0,0.0,-7.29311730529204e-11,0.0
24.0,1.0,-2.73044176963461e-09,-1.53266620785052e-09
24.0,2.0,9.59964424565557e-10,1.5154395738441e-08
24.0,3.0,-4.80866675119318e-09,-9.73533536173374e-09
24.0,4.0,5.97169159494454e-09,5.08911964925789e-09
24.0,5.0,-7.11793314132635e-09,-2.14262378272962e-08
24.0,6.0,3.62207110028164e-09,1.36044582864928e-09
24.0,7.0,-6.06363568035722e-09,4.91672724676752e-09
24.0,8.0,1.54072555437137e-08,-3.60812244996912e-09
24.0,9.0,-1.15751520988093e-08,-1.78355593524251e-08
24.0,10.0,1.09719273685843e-08,2.12569237716145e-08
24.0,11.0,1.51845349640653e-08,1.78040482985835e-08
24.0,12.0,1.14861865026666e-08,-6.17826525931362e-09
24.0,13.0,-3.02205191374829e-09,2.93476391139084e-09
24.0,14.0,-1.99569522298403e-08,-2.04641456836742e-09
24.0,15.0,6.35490900444178e-09,-1.59566972644154e-08
24.0,16.0,8.44903917752228e-09,2.72024146612831e-09
24.0,17.0,-1.19426848977209e-08,-6.44428063179946e-09
24.0,18.0,-3.6938414745559e-10,-1.03054147076774e-08
24.0,19.0,-4.44607720193391e-09,-8.67518429152269e-09
24.0,20.0,-5.65651494083195e-09,8.64212722355149e-09
24.0,21.0,5.5391166608603e-09,1.41196394253887e-08
24.0,22.0,3.99587089888849e-09,-3.93596776288303e-09
24.0,23.0,-6.19078276892964e-09,-8.82037161858174e-09
24.0,24.0,1.26584862526522e-08,-3.68695020064771e-09
25.0,0.0,3.20598734329939e-09,0.0
25.0,1.0,6.37138847616777e-09,-9.15694492187822e-09
25.0,2.0,2.27175340858446e-08,9.34694216870053e-09
25.0,3.0,-9.68121214416588e-09,-1.43065467749278e-08
25.0,4.0,1.01626991717437e-08,2.96899934977453e-10
25.0,5.0,-1.10411938574063e-08,-4.12570457156021e-10
25.0,6.0,1.62742318697154e-08,1.63730412787704e-10
25.0,7.0,9.59277390590897e-09,-6.62254501807672e-09
25.0,8.0,2.08273934296886e-09,1.83591500651598e-10
25.0,9.0,-3.03729337788405e-08,2.29531799333138e-08
25.0,10.0,8.99521256113324e-09,-4.41650495583955e-09
25.0,11.0,1.8895891309712e-09,1.03199175018396e-08
25.0,12.0,-7.76048780369275e-09,1.1571228873282e-08
25.0,13.0,7.96380614113776e-09,-1.16510263641772e-08
25.0,14.0,-1.99222544811326e-08,6.56132857540598e-09
25.0,15.0,-4.44589479364883e-09,-7.41171825487876e-09
25.0,16.0,1.30555080737715e-09,-1.29019675679949e-08
25.0,17.0,-1.5511375299179e-08,-3.70458425865622e-09
25.0,18.0,1.53751891476056e-09,-1.48836219419485e-08
25.0,19.0,7.76475227215034e-09,9.80656239211915e-09
25.0,20.0,-7.98489257329358e-09,-9.63153241628964e-10
25.0,21.0,1.06934402783522e-08,7.75981477961148e-09
25.0,22.0,-1.41390853980964e-08,3.8614428836821e-09
25.0,23.0,8.58533773832998e-09,-1.26390122596887e-08
25.0,24.0,4.24152224663866e-09,-8.39704764872638e-09
25.0,25.0,1.04936582302616e-08,4.94806311613958e-09
